21 9   -205.441 177.945 0.543582
22 9   247.011 -90.7523 0.526309
23 9   89.8967 2.7801 0.179879
24 9   -124.197 29.7549 0.255423
25 9   140.06 -120.157 0.369077
26 9   -844.408 185.768 1.7292
27 9   450.138 349.125 1.13932
28 9   -31.796 157.835 0.322011
29 9   27.3655 -121.142 0.248389
30 9   147.877 260.555 0.599188
31 9   -255.353 -231.654 0.689547
32 9   -629.009 -167.654 1.30194
33 9   -174.808 208.186 0.543688
34 9   -105.292 -225.008 0.49685
35 9   0.356215 -25.5895 0.051184
36 9   443.453 -267.257 1.03552
37 9   179.432 -408.597 0.892518
38 9   173.399 48.9774 0.360366
39 9   -138.688 -216.861 0.514833
40 9   -296.186 204.832 0.720229
41 9   -309.621 135.76 0.676154
42 9   239.92 29.4081 0.483432
43 9   102.201 86.4733 0.267751
44 9   152.682 -271.725 0.623365
45 9   723.368 27.3276 1.44777
46 9   -344.388 -135.151 0.739916
47 9   290.374 -234.464 0.746432
48 9   -53.4617 84.8522 0.20058
49 9   12.8811 -43.6834 0.091086
50 9   -213.488 -243.537 0.647727
1 10   -141.613 70.6239 0.316492
2 10   -268.562 251.932 0.736465
3 10   121.899 -44.9344 0.259835
4 10   -140.993 294.843 0.65364
5 10   83.219 382.937 0.783751
6 10   -268.017 -135.034 0.600224
7 10   -188.708 626.236 1.3081
8 10   -251.631 -100.911 0.542221
9 10   78.4195 30.7336 0.168454
10 10   -357.013 -195.36 0.813939
11 10   81.9105 -60.8396 0.204066
12 10   -93.8371 -63.7352 0.226871
13 10   159.439 57.5721 0.33903
14 10   90.3501 37.1055 0.195345
15 10   161.353 -116.816 0.3984
16 10   -8.4979 -178.23 0.356866
17 10   181.814 -278.993 0.666014
18 10   -72.9017 146.976 0.328125
19 10   296.517 -153.752 0.668017
20 10   210.897 -103.979 0.470273
21 10   -114.53 52.7437 0.252182
22 10   181.167 334.207 0.760304
23 10   -157.593 24.8043 0.319065
24 10   32.9962 -30.2349 0.0895075
25 10   90.5328 -51.2595 0.208074
26 10   17.3392 70.6505 0.145494
27 10   -221.242 -4.26972 0.442567
28 10   131.279 -33.908 0.271175
29 10   -226.045 141.507 0.533369
30 10   -16.5065 54.3573 0.113617
31 10   87.6346 -241.406 0.513641
32 10   24.8356 100.065 0.206202
33 10   238.289 111.515 0.526183
34 10   -51.4775 -141.94 0.301973
35 10   -86.6832 137.931 0.325815
36 10   59.3573 125.092 0.276921
37 10   -124.463 445.142 0.92443
38 10   255.367 -101.522 0.549614
39 10   284.828 343.145 0.891909
40 10   442.83 3223.61 6.50778
41 10   13.6755 246.712 0.494181
42 10   300.122 -15.0379 0.600997
43 10   -897.803 1289.41 3.14238
44 10   32.2648 -598.217 1.19817
45 10   -456.405 282.755 1.07379
46 10   -322.894 241.374 0.80628
47 10   -120.54 -142.047 0.372597
48 10   97.5843 159.322 0.373665
49 10   69.399 7.89016 0.139692
50 10   -277.842 -10.1474 0.556055
1 11   64.8299 154.935 0.335903
2 11   -74.4033 86.1543 0.22767
3 11   -547.715 335.878 1.285
4 11   14.0089 -226.282 0.45343
5 11   79.6398 -18.8418 0.163677
6 11   -123.935 -405.055 0.847181
7 11   187.47 -324.888 0.750192
8 11   62.2515 69.5142 0.186628
9 11   -932.168 1785.57 4.0285
10 11   -9.35212 -102.604 0.206058
11 11   -5.95823 -347.02 0.694143
12 11   -33.6887 367.047 0.73718
13 11   -32.3628 -89.0303 0.18946
14 11   32.3419 5.38518 0.0655743
15 11   -576.884 472.109 1.49088
16 11   -118.107 -177.762 0.426842
17 11   -213.717 185.681 0.566224
18 11   -223.305 -300.427 0.748656
19 11   -29.4114 -48.61 0.11363
20 11   -451.099 -175.818 0.968302
21 11   -292.852 36.0675 0.590129
22 11   -592.745 1036.96 2.38883
23 11   -26.5064 -132.507 0.270265
24 11   811.141 -931.64 2.47055
25 11   50.1139 -1.44674 0.100269
26 11   324.726 -136.777 0.704713
27 11   -110.099 155.524 0.381101
28 11   -57.3279 -34.9259 0.134258
29 11   399.663 -36.9465 0.802735
30 11   101.012 -452.431 0.927141
31 11   83.7205 -210.654 0.453362
32 11   -347.63 201.497 0.803612
33 11   175.117 -333.301 0.753009
34 11   -128.814 159.226 0.409614
35 11   -368.092 -141.734 0.788873
36 11   -1253.35 1942.84 4.62408
37 11   -18.4486 171.821 0.345618
38 11   -188.018 -77.9112 0.407042
39 11   -296.459 -351.428 0.919542
40 11   141.846 -32.3435 0.290974
41 11   105.133 474.594 0.972198
42 11   176.564 88.399 0.394913
43 11   254.716 209.425 0.659512
44 11   -7.73167 30.2109 0.0623692
45 11   -228.985 332.458 0.807373
46 11   43632 -6785.18 88.3128
47 11   -107.413 -133.291 0.342369
48 11   -89.6698 181.278 0.404486
49 11   161.184 77.2066 0.357441
50 11   35.9332 -5.57945 0.0727276
1 12   -127.93 -15.0015 0.257613
2 12   -401.355 506.626 1.29268
3 12   -36.6977 -189.692 0.386419
4 12   -701.685 -389.683 1.60526
5 12   674.677 -61.2472 1.3549
6 12   -313.285 22.4175 0.628171
7 12   77.3295 423.053 0.860126
8 12   206.729 -199.117 0.574053
9 12   -71.3787 -64.5752 0.192509
10 12   -1070.34 0.850721 2.14069
11 12   2.99441 222.848 0.445737
12 12   182.587 133.431 0.452292
13 12   262.838 -72.5455 0.545331
14 12   155.752 155.682 0.440434
15 12   -44.7968 171.416 0.354345
16 12   -410.448 148.101 0.8727
17 12   328.047 178.128 0.746577
18 12   -272.14 -109.129 0.58641
19 12   1097.95 536.86 2.44435
20 12   2.51331 206.689 0.413408
21 12   145.117 -28.0362 0.295601
22 12   -5.39591 -228.768 0.457663
23 12   96.5779 -9.20309 0.194031
24 12   -210.259 -611.438 1.29316
25 12   188.159 732.285 1.51214
26 12   -132.594 -81.708 0.311495
27 12   285.435 -160.452 0.654882
28 12   105.096 -73.1921 0.256142
29 12   50.6146 75.0083 0.180976
30 12   -4.1544 -21.4853 0.0437666
31 12   76.3627 -24.7609 0.160554
32 12   -101.508 -58.2272 0.234045
33 12   -118.588 -4.22396 0.237326
34 12   291.227 381.244 0.9595
35 12   413.481 -67.8852 0.838033
36 12   -1465.65 431.007 3.05541
37 12   -2.69555 -76.6805 0.153456
38 12   257.145 -74.2597 0.535306
39 12   -0.6227 -110.357 0.220717
40 12   148.054 48.0983 0.311343
41 12   -415.676 -492.016 1.2882
42 12   91.5785 39.4006 0.199389
43 12   99.9556 -178.466 0.409103
44 12   177.423 -2289.52 4.59277
45 12   -7.33201 73.5886 0.147906
46 12   -58.8024 -231.022 0.476777
47 12   142.522 116.701 0.368412
48 12   11.3818 -135.737 0.272427
49 12   -20.0668 -21.3914 0.0586606
50 12   -280.564 -70.7102 0.578674
1 13   -168.252 -9.96219 0.337094
2 13   -271.829 -760.366 1.61499
3 13   35.3074 19.6198 0.080785
4 13   -150.643 -240.17 0.567009
5 13   -304.387 230.092 0.763135
6 13   -520.905 1090.77 2.41754
7 13   -96.8114 -80.1381 0.251353
8 13   42.6725 -52.4438 0.135223
9 13   193.027 237.923 0.612754
