37 10   -40.1671 -102.275 0.21976
38 10   -142.357 -476.33 0.994296
39 10   23.2283 216.695 0.435873
40 10   -108.533 1.06885 0.217076
41 10   197.235 402.589 0.896614
42 10   487.199 207.142 1.05881
43 10   303.378 -157.997 0.684109
44 10   -49.6069 13.2233 0.102678
45 10   192.447 -177.112 0.523086
46 10   216.668 -70.8458 0.455913
47 10   -174.467 254.001 0.616297
48 10   97.0623 262.86 0.560416
49 10   205.356 293.863 0.717013
50 10   -20.9828 45.5068 0.100223
1 11   -132.904 -180.362 0.44808
2 11   2016.63 -1690.28 5.26265
3 11   267.19 205.446 0.674088
4 11   -111.115 -40.5275 0.23655
5 11   37.8894 -212.958 0.432604
6 11   842.708 95.3651 1.69617
7 11   -581.904 56.9035 1.16936
8 11   -42.1267 243.464 0.494163
9 11   74.439 -415.896 0.845011
10 11   -1022.72 1357.24 3.39886
11 11   101.791 -72.9632 0.250479
12 11   -197.836 -166.976 0.517764
13 11   -2.20366 53.9071 0.107904
14 11   -504.598 -2187.84 4.49054
15 11   137.158 71.8377 0.309664
16 11   -1.42428 -519.7 1.0394
17 11   -98.7639 -132.815 0.331024
18 11   -24.999 -78.6619 0.165077
19 11   -46.7019 -61.3447 0.154198
20 11   295.849 -218.165 0.735181
21 11   183.909 72.4981 0.395366
22 11   161.579 -6.24283 0.3234
23 11   315.321 -70.5444 0.646232
24 11   -294.531 122.021 0.637612
25 11   1090.07 1158.8 3.18187
26 11   -165.388 -110.714 0.39805
27 11   3.03823 -172.35 0.344753
28 11   -86.2317 235.011 0.500664
29 11   -55.3114 10.8692 0.112738
30 11   -6088.5 490.624 12.2165
31 11   -361.19 298.153 0.936703
32 11   -294.23 -377.199 0.956765
33 11   -859.176 -214.592 1.77114
34 11   26.2907 332.546 0.667168
35 11   -404.903 30.9176 0.812164
36 11   58.991 18.9082 0.123894
37 11   -57.4852 3.51451 0.115185
38 11   -37.3504 38.7502 0.107641
39 11   34.2307 -178.456 0.363418
40 11   -67.3941 173.456 0.372178
41 11   3842.97 -3339.41 10.1824
42 11   -165.925 413.923 0.891881
43 11   -142.542 -69.7296 0.317367
44 11   -67.7429 -406.865 0.824932
45 11   173.318 233.295 0.58126
46 11   -264.11 300.244 0.799751
47 11   121.465 -39.6943 0.255573
48 11   191.551 -1574.79 3.1728
49 11   7.51755 -26.3364 0.0547766
50 11   -65.5856 -69.26 0.190771
1 12   16.7147 23.6844 0.0579769
2 12   -1698.33 377.209 3.47944
3 12   -84.5597 -174.85 0.388448
4 12   237.599 415.835 0.957856
5 12   32.0006 52.5131 0.122991
6 12   -411.372 18.4602 0.823572
7 12   62.0048 88.7234 0.216485
8 12   623.149 -830.027 2.07582
9 12   -618.875 507.121 1.60022
10 12   -41.7128 138.685 0.289644
11 12   -178.353 -197.415 0.5321
12 12   -86.4641 -162.903 0.368855
13 12   -72.8849 176.99 0.382819
14 12   -1059.47 545.32 2.38314
15 12   -336.995 -498.446 1.20335
16 12   220.078 11.1816 0.440725
17 12   -37.6111 71.3058 0.161234
18 12   281.516 -40.4713 0.568821
19 12   -144.212 99.6509 0.350584
20 12   -138.783 -150.929 0.410074
21 12   -5214.53 1080.05 10.6504
22 12   -28.774 -66.7785 0.145428
23 12   -165.794 -376.002 0.821864
24 12   71.6959 363.855 0.741702
25 12   -77.8605 -277.757 0.576927
26 12   -200.761 347.205 0.802138
27 12   293.521 -524.555 1.20219
28 12   -23.4149 729.638 1.46003
29 12   82.4177 -298.417 0.619179
30 12   -1.30243 -379.586 0.759177
31 12   191.798 -241.963 0.617519
32 12   -320.036 -195.139 0.749672
33 12   3563.97 -2485.34 8.68995
34 12   55.4403 -4.70899 0.11128
35 12   110.55 -87.6607 0.282176
36 12   -18.4673 212.085 0.425776
37 12   -97.7635 331.903 0.692004
38 12   -62.711 -763.166 1.53148
39 12   -45.1948 -19.8615 0.098733
40 12   -55.6664 100.812 0.23032
41 12   -195.38 270.273 0.666996
42 12   318.033 -750.484 1.63018
43 12   -21.5659 -160.658 0.324198
44 12   10.2937 532.319 1.06484
45 12   -364.4 -181.827 0.814489
46 12   104.278 13.2592 0.210236
47 12   121.307 -38.1404 0.254323
48 12   -573.331 362.976 1.35714
49 12   -1157.96 645.215 2.65117
50 12   270.243 -296.654 0.802582
1 13   -16.7287 -111.997 0.22648
2 13   320.122 122.173 0.685287
3 13   -156.455 -7.2327 0.313244
4 13   116.273 15.5218 0.234608
5 13   217.838 -216.44 0.614165
6 13   -20.5039 -140.113 0.283211
7 13   896.499 237.129 1.85466
8 13   -13.8323 59.676 0.122516
9 13   379.222 10.1766 0.758716
10 13   -187.722 -151.02 0.481857
11 13   -49.0509 -144.939 0.306027
12 13   4.64988 -389.909 0.779873
13 13   -197.719 270.636 0.670334
14 13   94.1217 71.1536 0.235981
15 13   183.612 20.6026 0.369528
16 13   426.472 80.2427 0.867911
17 13   370.323 -52.1292 0.747948
18 13   -175.039 168.878 0.48645
19 13   -55.3599 128.08 0.279064
20 13   -49.9269 104.583 0.231778
21 13   -669.484 -478.945 1.64633
22 13   186.292 -65.968 0.395253
23 13   -1096.29 -12200.2 24.4987
24 13   -215.393 -298.932 0.736898
25 13   -10.7319 -8.6059 0.0275125
26 13   193.947 -248.285 0.630114
27 13   -277.335 -122.778 0.606594
28 13   -50.4276 5.98817 0.101564
29 13   -275.333 -295.459 0.807723
30 13   51.8523 -233.266 0.47792
31 13   129.74 672.03 1.36888
32 13   -814.725 -627.569 2.05681
33 13   104.7 235.256 0.515004
34 13   -133.944 -122.048 0.362418
35 13   -385.321 2041.43 4.15496
36 13   133.066 7.64992 0.266572
37 13   -80.9471 -92.1901 0.245369
38 13   -89.0053 -183.519 0.407927
39 13   896.906 -40.3305 1.79562
40 13   -78.7958 -197.721 0.425688
41 13   388.197 249.413 0.92283
42 13   116.219 -190.158 0.44572
43 13   -43.8259 422.951 0.850431
44 13   -195.471 -184.224 0.537206
45 13   167.463 93.699 0.383788
46 13   158.502 -67.95 0.344906
47 13   173.062 336.742 0.75722
48 13   -246.209 596.434 1.29051
49 13   424.112 -127.972 0.885998
50 13   -160.072 239.074 0.575429
1 14   -150.61 60.3603 0.324511
2 14   -256.361 149.353 0.593387
3 14   77.1358 -153.856 0.344218
4 14   -152.385 -355.78 0.774081
5 14   -53.4467 -347.443 0.703059
6 14   -412.29 7.59078 0.82472
7 14   -233.15 59.6177 0.481303
8 14   -248.716 -76.7289 0.520565
9 14   74.9894 -175.227 0.381198
10 14   336.26 465.611 1.14868
11 14   516.968 753.159 1.82702
12 14   632.393 356.014 1.45144
13 14   180.891 49.829 0.375258
14 14   282.408 -160.761 0.649918
15 14   105.838 -64.3684 0.247749
16 14   -44.2271 192.025 0.394104
17 14   34.9586 245.187 0.495332
18 14   -10.9482 -209.477 0.419526
19 14   -148.315 72.9502 0.330569
20 14   456.835 -430.464 1.25538
21 14   -858.899 -428.687 1.91988
22 14   -7.35743 146.087 0.292545
23 14   19.7088 -160.067 0.322551
24 14   91.0659 263.819 0.558188
25 14   -913.635 456.299 2.04249
26 14   -777.382 -733.362 2.13742
27 14   -68.7849 77.1274 0.206688
28 14   -91.1384 -9.73006 0.183313
29 14   -38.5339 0.778556 0.0770836
30 14   89.9837 -169.223 0.38332
31 14   7.97373 -42.8567 0.0871843
32 14   -136.998 -78.3488 0.315639
33 14   -155.72 43.2786 0.323245
34 14   149.983 149.065 0.42292
35 14   538.699 -1951.17 4.04835
36 14   -124.757 -143.042 0.379606
37 14   64.1426 -108.775 0.252557
38 14   -89.8234 -127.427 0.311807
39 14   53.5155 393.661 0.794563
40 14   75.3801 36.6767 0.167658
41 14   -118.954 -161.824 0.401682
42 14   -268.07 -149.626 0.614002
43 14   -124.696 -188.942 0.45276
