9 12   55.9483 297.28 0.604998
10 12   143.519 66.2528 0.316147
11 12   -26.5972 130.506 0.266377
12 12   -148.804 -108.228 0.367999
13 12   -22.0762 74.8898 0.156152
14 12   -661.963 -652.931 1.85958
15 12   77.18 -92.4408 0.240849
16 12   31.0153 -12.348 0.066766
17 12   -365.163 101.116 0.757807
18 12   313.495 -266.496 0.822919
19 12   -477.521 -736.555 1.75561
20 12   -411.31 -506.323 1.30467
21 12   68.3927 -372.057 0.756582
22 12   79.6631 -116.375 0.28206
23 12   -110.321 -95.6947 0.292083
24 12   -463.01 179.374 0.993082
25 12   -36.3619 234.676 0.474953
26 12   349.35 -402.261 1.06557
27 12   56.4417 -365.776 0.74021
28 12   47.3508 125.394 0.268073
29 12   -118.306 -34.8414 0.24666
30 12   -194.482 136.056 0.474698
31 12   5.5062 94.5942 0.189509
32 12   -201.722 -103.873 0.45379
33 12   1574.23 1828.4 4.82546
34 12   170.783 1810.75 3.63757
35 12   93.7153 -72.263 0.236681
36 12   105.595 14.777 0.213248
37 12   96.5922 343.026 0.712733
38 12   -41.8041 -326.753 0.658832
39 12   18.5147 331.308 0.66365
40 12   -170.113 -37.6333 0.348451
41 12   -287.863 10.1315 0.576082
42 12   1759.92 -345.627 3.58707
43 12   187.953 818.668 1.67993
44 12   -7.69903 -148.208 0.296815
45 12   1053.32 1415.77 3.52925
46 12   -40.021 -116.586 0.246528
47 12   -363.687 -134.19 0.775306
48 12   -33.1814 216.249 0.43756
49 12   -282.493 -151.439 0.641048
50 12   -321.982 47.4567 0.650921
1 13   -75.5645 -79.6858 0.219634
2 13   -2948.61 -3050.58 8.48537
3 13   165.243 -100.383 0.386689
4 13   -2.255 117.442 0.234927
5 13   -35.1886 8.22944 0.0722761
6 13   -124.928 -212.176 0.492445
7 13   -27.1854 -50.5019 0.114708
8 13   240.689 -41.5959 0.488515
9 13   459.593 -253.581 1.04982
10 13   750.371 99.2772 1.51382
11 13   434.34 22.9019 0.869888
12 13   76.6793 141.204 0.321362
13 13   -38.6579 -193.813 0.395261
14 13   34.2777 -7.7581 0.0702893
15 13   -33.5051 -44.2574 0.111019
16 13   -6192.54 6268.58 17.623
17 13   -169.474 -27.0593 0.343241
18 13   96.3587 -118.293 0.305145
19 13   -324.856 -102.68 0.681396
20 13   -119.437 -97.1123 0.30787
21 13   -179.302 -218.304 0.565
22 13   32.9837 -195.601 0.396725
23 13   -204.418 -76.329 0.436408
24 13   -343.333 -29.0025 0.689111
25 13   1465.64 -95.8597 2.93755
26 13   62.9916 -40.1226 0.149369
27 13   -73.469 -116.175 0.274914
28 13   -6.13438 -67.4937 0.135544
29 13   -204.195 240.24 0.630589
30 13   325.275 -362.882 0.974653
31 13   510.949 -403.655 1.30232
32 13   538.846 609.209 1.62664
33 13   34.6459 -25.6374 0.0862
34 13   -187.975 89.8474 0.416689
35 13   194.172 -216.333 0.581387
36 13   137.09 114.053 0.356661
37 13   -103.293 209.733 0.467579
38 13   -146.336 142.585 0.408631
39 13   238.144 25.7292 0.479059
40 13   158.35 36.7924 0.325136
41 13   156.094 -30.7418 0.318184
42 13   38.1869 14.0739 0.0813956
43 13   -201.161 148.588 0.500177
44 13   -90.2935 -468.991 0.955208
45 13   -364.125 135.751 0.777214
46 13   74.123 175.284 0.380624
47 13   211.956 92.6717 0.462659
48 13   241.605 45.949 0.491871
49 13   624.41 77.8129 1.25848
50 13   134.741 -42.2145 0.282398
1 14   -41.4736 -10.7467 0.0856866
2 14   -241.505 -362.61 0.871346
3 14   61.052 6.42048 0.122777
4 14   56.4579 -19.8149 0.119668
